name,songname,anilist,type,link
Cardfight!! Vanguard: Divinez,Kirifuda,164204,OP,https://v.animethemes.moe/CardfightVanguardDivinez-OP1.webm
Cardfight!! Vanguard: Divinez,Ryouyoku no Brilliance,164204,ED,https://v.animethemes.moe/CardfightVanguardDivinez-ED1.webm
Kingdom 5th Season,Douka,155227,OP,https://v.animethemes.moe/KingdomS5-OP1.webm
Kingdom 5th Season,RULERS,155227,ED,https://v.animethemes.moe/KingdomS5-ED1.webm
Shaman King: Flowers,Turn the World,147850,OP,https://v.animethemes.moe/ShamanKing2024-OP1.webm
Shaman King: Flowers,Dear Panta Rhei,147850,ED,https://v.animethemes.moe/ShamanKing2024-ED1.webm
Wonderful Precure!,Wonderful Precure! evolution!!,171030,OP,https://v.animethemes.moe/WonderfulPrecure-OP1.webm
Wonderful Precure!,Wonderful Precure! evolution!!,171030,OP,https://v.animethemes.moe/WonderfulPrecure-OP1v2.webm
Wonderful Precure!,Wonderful Precure! evolution!!,171030,OP,https://v.animethemes.moe/WonderfulPrecure-OP1v3.webm
Wonderful Precure!,Wonderful Precure! evolution!!,171030,OP,https://v.animethemes.moe/WonderfulPrecure-OP1v4.webm
Wonderful Precure!,FUN☆FUN☆Wonderful DAYS!,171030,ED1,https://v.animethemes.moe/WonderfulPrecure-ED1.webm
Wonderful Precure!,Shiawase Evolution ♡ ~Komugi & Iroha Ver.~,171030,ED2,https://v.animethemes.moe/WonderfulPrecure-ED2.webm
Wonderful Precure!,Shiawase Evolution ♡ ~Yuki & Mayu Ver.~,171030,ED3,https://v.animethemes.moe/WonderfulPrecure-ED3.webm
Wonderful Precure!,Happy≒Future,171030,ED4,https://v.animethemes.moe/WonderfulPrecure-ED4-TV.webm
Ninja Kamui,Vengeance,151639,OP,https://v.animethemes.moe/NinjaKamui-OP1.webm
Ninja Kamui,Vengeance,151639,OP,https://v.animethemes.moe/NinjaKamui-OP1v2.webm
Ninja Kamui,Eye Openers,151639,ED2,https://v.animethemes.moe/NinjaKamui-ED2.webm
Ninja Kamui,Vengeance,151639,ED1,https://v.animethemes.moe/NinjaKamui-ED1.webm
Ninja Kamui,Unbroken,151639,ED3,https://v.animethemes.moe/NinjaKamui-ED3.webm
Ninja Kamui,Chain Reaction,151639,ED4,https://v.animethemes.moe/NinjaKamui-ED4.webm
"One Room, Hiatari Futsuu, Tenshi-tsuki.",Kimiiro no Kiseki,169927,OP,https://v.animethemes.moe/TenshiTsuki-OP1.webm
"One Room, Hiatari Futsuu, Tenshi-tsuki.",Kimiiro no Kiseki,169927,OP,https://v.animethemes.moe/TenshiTsuki-OP1-NCBD1080.webm
"One Room, Hiatari Futsuu, Tenshi-tsuki.",Sunny Canvas,169927,ED,https://v.animethemes.moe/TenshiTsuki-ED1.webm
Shuumatsu Train Doko e Iku?,GA-TAN GO-TON,155657,OP,https://v.animethemes.moe/ShuumatsuTrain-OP1.webm
Shuumatsu Train Doko e Iku?,GA-TAN GO-TON,155657,OP,https://v.animethemes.moe/ShuumatsuTrain-OP1-NCBD1080.webm
Shuumatsu Train Doko e Iku?,Eureka,155657,ED,https://v.animethemes.moe/ShuumatsuTrain-ED1.webm
Shuumatsu Train Doko e Iku?,Eureka,155657,ED,https://v.animethemes.moe/ShuumatsuTrain-ED1-NCBD1080.webm
Re:Monster,Into the Fire,169417,OP,https://v.animethemes.moe/ReMonster-OP1.webm
Re:Monster,Sadame,169417,ED,https://v.animethemes.moe/ReMonster-ED1.webm
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",Kyunrious,156415,OP,https://v.animethemes.moe/Dainanaoji-OP1.webm
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",Happy no Hiketsu,156415,ED,https://v.animethemes.moe/Dainanaoji-ED1.webm
Ookami to Koushinryou: Merchant Meets the Wise Wolf,Tabi no Yukue,145728,OP1,https://v.animethemes.moe/OokamiToKoushinryou2024-OP1.webm
Ookami to Koushinryou: Merchant Meets the Wise Wolf,Andante,145728,ED1,https://v.animethemes.moe/OokamiToKoushinryou2024-ED1.webm
Ookami to Koushinryou: Merchant Meets the Wise Wolf,Tabi no Yukue,145728,OP1,https://v.animethemes.moe/OokamiToKoushinryou2024-OP1-EN.webm
Ookami to Koushinryou: Merchant Meets the Wise Wolf,Sign,145728,OP2,https://v.animethemes.moe/OokamiToKoushinryou2024-OP2.webm
Ookami to Koushinryou: Merchant Meets the Wise Wolf,Ringo to Kimi,145728,ED2,https://v.animethemes.moe/OokamiToKoushinryou2024-ED2.webm
Touken Ranbu Kai: Kyoden Moyuru Honnouji,Whatever Happens,150085,OP,https://v.animethemes.moe/ToukenRanbuKai-OP1.webm
Touken Ranbu Kai: Kyoden Moyuru Honnouji,DAYBREAK,150085,ED,https://v.animethemes.moe/ToukenRanbuKai-ED1.webm
Bartender: Kami no Glass,Stardust Memory,155890,OP,https://v.animethemes.moe/BartenderKamiNoGlass-OP1.webm
Bartender: Kami no Glass,Spica,155890,ED,https://v.animethemes.moe/BartenderKamiNoGlass-ED1.webm
Yuru Camp△ Season 3,Laid Back Journey,155908,OP,https://v.animethemes.moe/YuruCampS3-OP1.webm
Yuru Camp△ Season 3,Laid Back Journey,155908,OP,https://v.animethemes.moe/YuruCampS3-OP1v2.webm
Yuru Camp△ Season 3,Laid Back Journey,155908,OP,https://v.animethemes.moe/YuruCampS3-OP1v3.webm
Yuru Camp△ Season 3,Laid Back Journey,155908,OP,https://v.animethemes.moe/YuruCampS3-OP1v4.webm
Yuru Camp△ Season 3,Laid Back Journey,155908,OP,https://v.animethemes.moe/YuruCampS3-OP1v5.webm
Yuru Camp△ Season 3,So Precious,155908,ED,https://v.animethemes.moe/YuruCampS3-ED1.webm
Wind Breaker,Zettai Reido,163270,OP,https://v.animethemes.moe/WindBreaker-OP1.webm
Wind Breaker,Muteki,163270,ED,https://v.animethemes.moe/WindBreaker-ED1.webm
Wind Breaker,Muteki,163270,ED,https://v.animethemes.moe/WindBreaker-ED1v2.webm
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",Wakaranai Ai,156023,OP,https://v.animethemes.moe/Madome-OP1.webm
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",Wakaranai Ai,156023,OP,https://v.animethemes.moe/Madome-OP1-NCBD1080.webm
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",Blue Star,156023,ED,https://v.animethemes.moe/Madome-ED1.webm
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",Blue Star,156023,ED,https://v.animethemes.moe/Madome-ED1-NCBD1080.webm
Hananoi-kun to Koi no Yamai,Kimi no Sei,165855,OP,https://v.animethemes.moe/HananoiKun-OP1.webm
Hananoi-kun to Koi no Yamai,Kimi no Sei,165855,OP,https://v.animethemes.moe/HananoiKun-OP1v2.webm
